ExpRepeatIndex	A_frac	A	B	C	D	E	vis	smallChar	largeChar	smallNum	largeNum	trial	ExpIndex	expType	text
trial	0	29.4	40	50	40	70	barchart	A	E	29.4	70	trial	trial	trial	The correct answer is 42%. The smaller bar is just over 2/5 the size of the larger one.
trial	0	85	60	90	19.55	15	barchart	D	A	19.55	85	trial	trial	trial	The correct answer is 23%. The smaller bar is slightly below 1/4 the size of the larger one.
trial	0	5	25	35	8	27	piechart	A	D	5	8	trial	trial	trial	The correct answer is 60%. The smaller slice is 3/5 the size of the larger one.
trial	0	10	31.32	11	36	11.68	piechart	B	D	31.32	36	trial	trial	trial	The correct answer is 87%. The smaller slice is just under 9/10 the size of the larger one.
trial	0	15	15	14.8	20	38	bubblechart	C	D	14.8	20	trial	trial	trial	The correct answer is 74%. The smaller bubble is almost 3/4 the size of the larger one.
trial	0	16	25	25	8.8	26	bubblechart	D	A	8.8	16	trial	trial	trial	The correct answer is 55%. The smaller bubble is slightly larger than 1/2 the size of the larger one.
transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition
1	0.925	0.0709852114858143	0.380761596489722	0.0321790124554751	0.411634158367267	0.104440021201722	piechart	B	D	0.380761596489722	0.411634158367267	piechart19	1	main	
1	0.075	10.7423843014552	3.99123683830134	0.805678822609141	5.01499678975329	79.445703247881	barchart	C	A	0.805678822609141	10.7423843014552	barchart2	2	main	
1	0.625	11.0011625216782	6.05947077351215	27.3579945895248	11.8085807720453	43.7727913432396	bubblechart	C	E	27.3579945895248	43.7727913432396	bubblechart13	3	main	
1	0.325	0.709410402097933	0.0119566482773757	0.034771664580065	0.0133029043627986	0.230558380681828	piechart	E	A	0.230558380681828	0.709410402097933	piechart7	4	main	
1	0.325	1.19566482773757	23.0558380681828	1.33029043627986	3.4771664580065	70.9410402097933	barchart	B	E	23.0558380681828	70.9410402097933	barchart7	5	main	
1	0.175	2.6191227917282	29.6779473559068	14.9664159527326	43.3241812380844	9.41233266154801	barchart	A	C	2.6191227917282	14.9664159527326	barchart4	6	main	
