ExpRepeatIndex	A_frac	A	B	C	D	E	vis	smallChar	largeChar	smallNum	largeNum	trial	ExpIndex	expType	text
trial	0	20	17	20	61	30	stackbarchart	A	C	20	20	trial	trial	trial	The correct answer is 100%.  The smaller segment of the bar is exactly the same size as the larger one.
trial	0	15	15	14.8	20	38	bubblechart	C	D	14.8	20	trial	trial	trial	The correct answer is 74%. The smaller bubble is almost 3/4 the size of the larger one.
trial	0	5	25	35	8	27	piechart	A	D	5	8	trial	trial	trial	The correct answer is 60%. The smaller slice is 3/5 the size of the larger one.
trial	0	29.4	40	50	40	70	barchart	A	E	29.4	70	trial	trial	trial	The correct answer is 42%. The smaller bar is just over 2/5 the size of the larger one.
trial	0	85	60	90	19.55	15	barchart	D	A	19.55	85	trial	trial	trial	The correct answer is 23%. The smaller bar is slightly below 1/4 the size of the larger one.
trial	0	5	25	35	8	27	piechart	A	D	5	8	trial	trial	trial	The correct answer is 60%. The smaller slice is 3/5 the size of the larger one.
trial	0	10	31.32	11	36	11.68	piechart	B	D	31.32	36	trial	trial	trial	The correct answer is 87%. The smaller slice is just under 9/10 the size of the larger one.
trial	0	15	15	14.8	20	38	bubblechart	C	D	14.8	20	trial	trial	trial	The correct answer is 74%. The smaller bubble is almost 3/4 the size of the larger one.
trial	0	16	25	25	8.8	26	bubblechart	D	A	8.8	16	trial	trial	trial	The correct answer is 55%. The smaller bubble is slightly larger than 1/2 the size of the larger one.
trial	0	20	17	20	61	30	stackbarchart	A	C	20	20	trial	trial	trial	The correct answer is 100%.  The smaller segment of the bar is exactly the same size as the larger one.
trial	0	50	50	8.71	40	67	stackbarchart	C	E	8.71	67	trial	trial	trial	The correct answer is 13%.  The smaller segment of the bar is just over 1/10 the size of the larger one.
transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition	transition
1	0.75	0.0402282607687487	0.100782717567466	0.376545602575477	0.200034217156701	0.282409201931608	piechart	E	C	0.282409201931608	0.376545602575477	piechart15	1	main	
1	0.15	2.73863326465036	11.8399693888774	4.89098149161022	78.9331292591827	1.59728659567931	bubblechart	B	D	11.8399693888774	78.9331292591827	bubblechart3	2	main	
1	0.55	0.0214344610737159	0.249263712731866	0.227947201594505	0.0481478741783387	0.453206750421575	piechart	B	E	0.249263712731866	0.453206750421575	piechart11	3	main	
2	0.75	0.0402282607687487	0.100782717567466	0.376545602575477	0.200034217156701	0.282409201931608	piechart	E	C	0.282409201931608	0.376545602575477	piechart15	4	main	
1	0.95	0.268551327578849	0.00590718295798675	0.360112740938814	0.0233216446324763	0.342107103891874	stackbarchart	E	C	0.342107103891874	0.360112740938814	stackbarchart19	5	main	
1	0.1	0.00475471308924651	0.0744275118488903	0.0609008422079236	0.744275118488903	0.115641814365037	stackbarchart	B	D	0.0744275118488903	0.744275118488903	stackbarchart2	6	main	
1	0.95	0.268551327578849	0.00590718295798675	0.360112740938814	0.0233216446324763	0.342107103891874	piechart	E	C	0.342107103891874	0.360112740938814	piechart19	7	main	
1	0.6	2.06205437558415	3.13828583835857	54.119708547488	5.23047639726428	35.449474841305	bubblechart	B	D	3.13828583835857	5.23047639726428	bubblechart12	8	main	
1	0.85	16.3444854010752	10.921186513606	21.6587903775819	13.8928125909139	37.1827251168229	bubblechart	D	A	13.8928125909139	16.3444854010752	bubblechart17	9	main	
1	0.9	0.168012530255384	0.176494144459623	0.283099355802896	0.0578391297011015	0.314554839780995	piechart	C	E	0.283099355802896	0.314554839780995	piechart18	10	main	
1	0.7	1.3479811198956	12.5083931120817	28.4868151832865	16.9613603228984	40.6954502618379	barchart	C	E	28.4868151832865	40.6954502618379	barchart14	11	main	
1	1	32.8204149694648	1.64195287519552	7.95351772597343	32.8204149694648	24.7636994599015	barchart	A	A	32.8204149694648	32.8204149694648	barchart20	12	main	
1	0.66	0.354809162742739	0.139128856666853	0.0167411518751475	0.234174047410208	0.255146781305053	piechart	D	A	0.234174047410208	0.354809162742739	piechart13	13	main	
1	0.66	35.4809162742739	1.67411518751475	25.5146781305053	13.9128856666853	23.4174047410208	bubblechart	E	A	23.4174047410208	35.4809162742739	bubblechart13	14	main	
2	0.55	0.0214344610737159	0.249263712731866	0.227947201594505	0.0481478741783387	0.453206750421575	piechart	B	E	0.249263712731866	0.453206750421575	piechart11	15	main	
1	0.5	0.678433556878847	0.139517144168106	0.0419862497578443	0.0703044771111491	0.0697585720840531	stackbarchart	E	B	0.0697585720840531	0.139517144168106	stackbarchart10	16	main	
1	0.95	2.33216446324763	36.0112740938814	26.8551327578849	0.590718295798675	34.2107103891874	bubblechart	E	B	34.2107103891874	36.0112740938814	bubblechart19	17	main	
2	0.6	2.06205437558415	3.13828583835857	54.119708547488	5.23047639726428	35.449474841305	bubblechart	B	D	3.13828583835857	5.23047639726428	bubblechart12	18	main	
1	0.25	0.463106399113312	0.0884128187444942	0.115776599778328	0.044709753571696	0.287994428792169	piechart	C	A	0.115776599778328	0.463106399113312	piechart5	19	main	
2	0.66	35.4809162742739	1.67411518751475	25.5146781305053	13.9128856666853	23.4174047410208	bubblechart	E	A	23.4174047410208	35.4809162742739	bubblechart13	20	main	
1	0.8	0.473297260306529	0.110362770153537	0.114315727441054	0.159129582797562	0.142894659301318	piechart	C	E	0.114315727441054	0.142894659301318	piechart16	21	main	
1	0.85	0.138928125909139	0.216587903775819	0.371827251168229	0.163444854010752	0.10921186513606	stackbarchart	A	D	0.138928125909139	0.163444854010752	stackbarchart17	22	main	
1	0.75	20.0034217156701	28.2409201931608	10.0782717567466	4.02282607687487	37.6545602575477	barchart	B	E	28.2409201931608	37.6545602575477	barchart15	23	main	
1	0.45	11.8411189740813	0.481120834217601	0.260423107270276	26.3135977201806	61.1037393642503	bubblechart	A	D	11.8411189740813	26.3135977201806	bubblechart9	24	main	
1	0.33	0.232773762655219	0.443598692291381	0.104322814256579	0.146387568456156	0.0729171623406656	stackbarchart	D	B	0.146387568456156	0.443598692291381	stackbarchart7	25	main	
1	0.9	5.78391297011015	16.8012530255384	28.3099355802896	17.6494144459623	31.4554839780995	bubblechart	C	E	28.3099355802896	31.4554839780995	bubblechart18	26	main	
1	0.05	0.385087070022044	0.288921175866723	0.220502758002786	0.0192543535011022	0.086234642607344	piechart	D	A	0.0192543535011022	0.385087070022044	piechart1	27	main	
2	0.25	0.463106399113312	0.0884128187444942	0.115776599778328	0.044709753571696	0.287994428792169	piechart	C	A	0.115776599778328	0.463106399113312	piechart5	28	main	
2	0.95	2.33216446324763	36.0112740938814	26.8551327578849	0.590718295798675	34.2107103891874	bubblechart	E	B	34.2107103891874	36.0112740938814	bubblechart19	29	main	
1	1	0.328204149694648	0.247636994599015	0.328204149694648	0.0795351772597342	0.0164195287519552	piechart	A	A	0.328204149694648	0.328204149694648	piechart20	30	main	
1	0.3	34.726685759289	3.96435071972761	21.9117217736294	28.9792360195672	10.4180057277867	bubblechart	E	A	10.4180057277867	34.726685759289	bubblechart6	31	main	
1	0.25	46.3106399113312	4.4709753571696	11.5776599778328	8.84128187444942	28.7994428792169	bubblechart	C	A	11.5776599778328	46.3106399113312	bubblechart5	32	main	
1	0.1	0.00475471308924651	0.0744275118488903	0.0609008422079236	0.744275118488903	0.115641814365037	piechart	B	D	0.0744275118488903	0.744275118488903	piechart2	33	main	
